country,-5,-4,-3,-2,-1,1,2,3,4,5,year_changes,mean_before,mean_after,razviv,targeting_inf
Армения,4.5,5.9,0.7,3.4,4.6,9,3.5,7.3,7.7,2.5,2008,3.8,6.0,0,1
Бразилия,66,15.8,6.9,3.2,4.9,7,6.8,8.4,14.7,6.6,2000,17.3,8.7,0,1
Венгрия,18.3,14.2,10,9.8,9.2,5.3,4.7,6.7,3.6,3.9,2002,12.2,4.8,0,1
Гана,14.8,26.6,12.7,15.1,11.7,10.7,16.5,13.1,6.7,7.7,2007,16.1,10.9,0,1
Гватемала,5.2,6,7.3,8.1,5.6,7.6,9.1,6.6,6.8,11.4,2004,6.4,8.3,0,1
Грузия,8.2,9.2,9.2,10,1.7,7.1,8.5,-0.9,-0.5,3.1,2010,7.6,3.4,0,1
Индонезия,11.8,6.8,6.1,10.5,13.1,6.7,9.8,5,5.1,5.3,2007,9.6,6.4,0,1
Колумбия,20.8,18.5,18.7,10.9,9.2,8,6.4,7.1,5.9,5.1,2001,15.5,6.5,0,1
Мексика,20.6,15.9,16.6,9.5,6.4,5,4.6,4.7,4,3.6,2002,13.7,4.4,0,1
Молдова,12.7,12.4,12.7,0,7.4,7.6,4.6,4.6,5.1,9.6,2011,8.9,6.3,0,1
Перу,7.3,3.5,3.8,2,0.2,2.3,3.7,1.6,2,1.8,2003,3.3,2.3,0,1
Польша,35.3,32.2,27.9,19.9,14.9,11.8,7.3,10.1,5.5,1.9,1998,25.8,7.3,0,1
Румыния ,34.5,22.2,15.3,11.9,9,6.6,4.8,7.8,5.6,6.1,2006,18.2,6.2,0,1
Сербия,8.9,2.9,10.6,16.3,10.7,6,12.4,8.1,6.1,11.1,2007,9.8,8.7,0,1
Тайланд,5.8,5.6,8,0.3,1.6,1.6,0.7,1.8,2.8,4.5,2001,4.2,2.3,0,1
Турция,84.7,64.9,55,54.2,45.1,25.3,8.6,8.2,9.6,8.8,2003,60.2,11.9,0,1
Филиппины,9.4,6.2,6.6,5.4,2.7,2.3,4.8,6.6,5.5,2.9,2003,6.0,4.4,0,1
Чили,11.5,8.2,7.4,6.1,5.1,3.3,3.8,3.6,2.5,2.8,1999,7.6,3.2,0,1
ЮАР,7.4,8.6,7,5.1,5.4,5.6,9.2,5.9,1.4,3.3,2001,6.7,5.0,0,1
Азербайджан,-8.5,1.8,1.5,2.8,2.2,6.7,9.7,8.4,16.6,20.8,2004,-0.1,12.3,0,0
Алжир,2.6,0.3,4.2,1.4,4.3,4,1.4,2.3,3.7,4.9,2004,2.5,3.3,0,0
Ангола,0.4,0,3.1,5.2,2.3,2.9,2.4,2.4,2.9,3.4,2004,2.2,2.8,0,0
Антигуа и Барбуда,1.1,-0.2,1.9,2.4,2,2,2.1,1.8,1.4,5.3,2004,1.4,2.5,0,0
Аргентина,-1.2,-0.9,-1.1,25.9,13.4,4.4,9.6,10.9,8.8,8.6,2004,6.7,8.4,0,0
Багамы,1.1,1.7,2.4,1.5,3.7,1.2,1.8,2,2.4,4.4,2004,2.1,2.4,0,0
Барбадос,1.6,2.4,2.8,0.2,1.6,1.4,6.1,7.3,4,8.1,2004,1.7,5.4,0,0
Бахрейн,1.1,1.7,2.4,1.5,3.7,1.2,1.8,2,2.4,4.4,2004,2.1,2.4,0,0
Беларусь,293.7,168.6,61.1,42.6,28.4,18.1,10.3,7,8.4,14.8,2004,99.0,11.6,0,0
Белиз,-1.2,0.6,1.1,2.2,2.6,3.1,3.7,4.2,2.3,6.4,2004,1.1,3.9,0,0
Болгария,-1.3,-0.7,-1.2,-0.5,1.7,2.2,2.6,2,3.3,3.5,2004,-0.4,2.7,0,0
Боливия,2.2,4.6,1.6,0.9,3.3,4.4,5.4,4.3,6.7,14,2004,2.5,6.9,0,0
Босния и Герцеговина,2.8,5,4.6,0.3,0.5,0.3,3.6,6.1,1.5,7.4,2004,2.6,3.7,0,0
Ботсвана,7.8,8.5,6.6,8,9.2,7,8.6,11.6,7.1,12.6,2004,8.0,9.4,0,0
Бруней,0,1.2,0.6,-2.3,0.3,0.9,1.1,0.2,1,2.1,2004,0.0,1.1,0,0
Бутан,9.1,7.2,3.7,2.9,2.5,3.3,4.8,5.2,5.1,6.8,2004,5.0,5.0,0,0
Вануату,3.2,2.5,3.6,2,3,1.4,1.2,2,3.9,4.8,2004,2.9,2.7,0,0
Венесуэла ,23.6,16.2,12.5,22.4,31.1,21.7,16,13.7,18.7,30.4,2004,21.0,20.0,0,0
Габон,-1.9,0.5,2.1,0.2,2.1,0.4,1.2,-1.4,-1,5.3,2004,0.6,0.9,0,0
Гаяна,7.5,6.1,2.6,5.4,6,4.7,6.9,6.7,12.2,8.1,2004,5.5,7.7,0,0
Гондурас,11.7,11,9.7,7.7,7.7,8.1,8.8,5.6,6.9,11.4,2004,9.5,8.1,0,0
Гренада,0.6,2.1,1.7,1.1,2.2,2.3,3.5,4.3,3.9,8,2004,1.5,4.4,0,0
Джибути,-0.4,2,1.8,0.6,2,3.1,3.1,3.5,5,12,2004,1.2,5.3,0,0
Доминикана,1.2,0.8,1.6,0.2,1.5,2.4,1.7,2.6,3.2,6.4,2004,1.1,3.2,0,0
Доминиканская республика,7,7.2,8.9,5.2,27.4,51.5,4.2,7.6,6.1,10.6,2004,10.9,14.8,0,0
Египет,3.7,2.8,2.4,2.4,3.2,8.1,8.8,4.2,11,11.7,2004,2.9,8.7,0,0
Иордания,0.6,0.7,1.8,1.8,1.6,3.4,3.5,6.3,4.7,14,2004,1.3,6.3,0,0
Иран,20.1,10,11.3,15.9,15.6,15.2,12.1,12.9,18.4,25.3,2004,14.5,16.7,0,0
Кабо Верде,4.3,-2.4,3.7,1.9,1.2,-1.9,0.4,4.8,4.4,6.8,2004,1.7,2.9,0,0
Казахстан ,8.4,13.3,8.4,5.9,6.5,6.9,7.5,8.6,10.8,17.1,2004,8.5,10.1,0,0
Камерун,1.8,1.2,4.5,2.8,0.6,0.3,2,4.9,1.1,5.3,2004,2.2,2.7,0,0
Катар,2.2,1.6,1.6,0.2,2.2,6.8,8.9,11.8,13.7,15.1,2004,1.6,11.2,0,0
Кирибати,1.8,0.4,6,3.2,1.6,-0.7,-0.4,-1,3.6,13.7,2004,2.6,2.9,0,0
