resID	atmilitary	atreligion	ated	atprof	atinc	atrace	atage	atmale	selected	rating
383	1	6	3	6	6	1	6	2	0	0.3333333333333333
383	2	1	1	4	3	6	4	1	1	0.5
383	1	3	5	5	1	2	5	2	1	0.6666666666666666
383	2	4	5	3	2	1	6	1	0	0.6666666666666666
383	2	1	2	3	6	2	2	2	0	0.3333333333333333
383	2	4	1	2	2	1	3	1	1	0.5
383	2	1	2	1	6	2	3	1	0	0.3333333333333333
383	1	2	4	6	6	4	6	2	1	0.5
383	2	4	6	2	1	1	6	2	0	0.5
383	1	4	5	1	2	3	4	2	1	0.5
767	2	3	2	5	1	1	2	1	0	0.8333333333333334
767	2	6	4	3	6	4	2	1	1	0.8333333333333334
767	1	1	5	3	4	2	2	1	1	0.8333333333333334
767	1	2	5	4	1	5	4	1	0	0.5
767	2	4	6	4	4	5	1	1	1	0.6666666666666666
767	1	5	2	6	5	1	6	1	0	0.16666666666666666
767	2	6	4	2	4	2	4	2	1	0.8333333333333334
767	2	2	1	3	5	1	6	2	0	0.16666666666666666
767	2	4	3	5	4	1	1	2	1	0.8333333333333334
767	2	6	6	6	3	4	1	1	0	0.8333333333333334
269	1	1	4	4	3	4	1	1	0	0.5
269	2	5	6	2	4	3	1	1	1	0.6666666666666666
269	1	1	4	4	1	5	6	2	0	0.16666666666666666
269	2	4	4	4	4	6	1	2	1	
269	2	4	6	6	2	4	1	2	0	0
269	1	2	5	2	4	4	5	1	1	0.5
269	1	1	6	4	6	1	3	2	1	0.5
269	2	5	3	5	3	4	4	1	0	0.5
269	1	3	3	2	5	5	3	2	1	0.6666666666666666
269	1	3	1	4	4	3	6	2	0	0.3333333333333333
290	1	2	4	3	2	4	5	2	0	0.6666666666666666
290	2	6	6	4	2	3	1	2	1	0.8333333333333334
290	1	6	3	6	3	3	4	1	1	0.8333333333333334
290	1	6	5	4	5	1	5	1	0	0.5
290	2	1	6	5	4	3	1	1	1	0.8333333333333334
290	2	3	3	2	2	4	6	2	0	0.6666666666666666
290	1	4	2	4	5	4	5	2	1	0.6666666666666666
290	2	5	6	2	1	3	2	2	0	0.8333333333333334
290	1	2	2	3	2	1	6	2	0	0.6666666666666666
290	1	3	2	5	3	1	2	1	1	0.8333333333333334
412	2	2	2	3	3	2	1	2	1	0.5
412	2	4	6	2	4	4	5	2	0	0.5
412	1	2	5	1	5	2	6	1	0	0.5
412	2	4	5	2	6	4	6	2	1	0.5
412	1	4	2	1	6	5	1	2	1	0.5
412	1	4	1	5	4	5	1	2	0	0.3333333333333333
412	2	2	4	5	2	3	4	1	1	0.5
412	1	4	4	4	4	2	2	1	0	0.5
412	1	2	5	4	1	4	3	1	0	0.5
412	2	5	5	3	4	6	3	2	1	0.5
885	1	3	2	1	4	2	6	1	1	0.5
885	1	6	5	1	3	5	6	2	0	
885	1	1	1	6	2	5	1	2	0	0.5
885	2	5	1	4	1	1	1	1	1	0.5
885	2	2	2	6	6	5	6	1	0	0.5
885	1	1	5	1	3	4	6	1	1	0.5
885	2	1	3	2	5	2	4	2	0	0.5
885	2	3	2	5	6	6	3	1	1	0.5
885	2	5	6	4	3	6	1	2	1	0.5
885	2	3	4	6	3	1	4	1	0	0.5
453	2	5	5	6	2	2	2	2	0	0.5
453	1	4	5	1	5	2	6	2	1	0.6666666666666666
453	1	4	3	4	2	2	4	1	1	0.5
453	1	6	1	2	4	2	5	2	0	0.3333333333333333
453	1	6	2	4	4	6	5	1	1	0.5
453	1	1	4	5	4	2	5	1	0	0.16666666666666666
453	2	6	3	2	4	3	2	1	1	0.5
453	1	1	2	1	6	3	6	2	0	0.5
453	2	4	4	1	6	5	2	1	1	0.6666666666666666
453	1	4	6	5	2	5	1	2	0	0.16666666666666666
385	2	4	4	5	6	1	3	1	1	0.6666666666666666
